account,name,link,keywords,language
@fusion@lemmy.ml, Nuclear fusion Group, https://lemmy.ml/c/fusion, community discussion nuclear fusion, en
@jhillairet@sciences.re, Julien Hillairet, https://social.sciences.re/@jhillairet, plasma physics controlled magnetic fusion RF antennas heating current-drive, fr en
@formbar@fediscience.org, Alf Köhn-Seemann, https://fediscience.org/@formbar, plasma physics magnetic fusion microwave technology turbulence, de en
@steffidiem@mathstodon.xyz, Steffi Diem, https://mathstodon.xyz/@steffidiem, experimental plasma physicist fusion energy waves instabilities magnetohydrodynamics heating current-drive, en
@plasmaphysik@bonn.social,  Max-Planck-Institut for plasma physics (IPP Garching and Greifswald), https://bonn.social/@plasmaphysik, plasma physics nuclear fusion, de en
@gregdt@mastodontech.de, Greg De Temmerman, https://mastodontech.de/@gregdt, Plasma Physicist energy-transition climatetech, fr en
@DrKate_L@mastodon.world, Kate Lancaster, https://mastodon.world/@DrKate_L, lasers plasmas fusion, en
@PlasmaNerd@fediscience.org, Alexa J. Halford, https://fediscience.org/@PlasmaNerd, Space Physics Plasma wave/particles-interactions, en
@didou@mamot.fr, Didier Vezinet, https://mamot.fr/@didou, Plasma physicist in nuclear fusion (xrays), fr en
@hattom@mastodon.social, Tom Hayward, https://mastodon.social/@hattom, Fusion plasma physicist computational scientist, en
